N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,421,0,49
2,0,397,0,73
3,0,378,0,92
4,0,369,0,101
5,0,361,0,109
6,0,348,0,122
7,0,339,0,131
8,0,326,0,144
9,0,313,0,157
10,0,299,0,171
11,0,285,0,185
12,0,269,0,201
13,0,264,0,206
14,0,249,0,221
15,0,240,0,230
16,0,230,0,240
17,0,223,0,247
18,0,215,0,255
19,0,204,0,266
20,0,191,0,279
21,0,185,0,285
22,0,176,0,294
23,0,166,0,304
24,0,157,0,313
25,0,148,0,322
26,0,139,0,331
27,0,131,0,339
28,0,125,0,345
29,0,113,0,357
30,0,102,0,368
31,0,97,0,373
32,0,88,0,382
33,0,81,0,389
34,0,74,0,396
35,0,68,0,402
36,0,62,0,408
37,0,53,0,417
38,0,46,0,424
39,0,38,0,432
40,0,34,0,436
41,0,30,0,440
42,0,29,0,441
43,0,27,0,443
44,0,25,0,445
45,0,23,0,447
46,0,21,0,449
47,0,17,0,453
48,0,15,0,455
49,0,15,0,455
50,0,13,0,457
51,0,12,0,458
52,0,11,0,459
53,0,9,0,461
54,0,8,0,462
55,0,8,0,462
56,0,7,0,463
57,0,5,0,465
58,0,4,0,466
59,0,4,0,466
60,0,3,0,467
61,0,1,0,469
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
