N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,455,0,15
2,0,420,0,50
3,0,394,0,76
4,0,378,0,92
5,0,363,0,107
6,0,349,0,121
7,0,336,0,134
8,0,325,0,145
9,0,315,0,155
10,0,299,0,171
11,0,282,0,188
12,0,273,0,197
13,0,256,0,214
14,0,240,0,230
15,0,225,0,245
16,0,212,0,258
17,0,202,0,268
18,0,191,0,279
19,0,181,0,289
20,0,173,0,297
21,0,166,0,304
22,0,159,0,311
23,0,144,0,326
24,0,130,0,340
25,0,122,0,348
26,0,115,0,355
27,0,106,0,364
28,0,89,0,381
29,0,74,0,396
30,0,63,0,407
31,0,51,0,419
32,0,43,0,427
33,0,39,0,431
34,0,37,0,433
35,0,31,0,439
36,0,28,0,442
37,0,25,0,445
38,0,22,0,448
39,0,19,0,451
40,0,18,0,452
41,0,14,0,456
42,0,11,0,459
43,0,9,0,461
44,0,8,0,462
45,0,6,0,464
46,0,5,0,465
47,0,4,0,466
48,0,3,0,467
49,0,2,0,468
50,0,1,0,469
51,0,1,0,469
52,0,0,0,470
53,0,0,0,470
54,0,0,0,470
55,0,0,0,470
56,0,0,0,470
57,0,0,0,470
58,0,0,0,470
59,0,0,0,470
60,0,0,0,470
61,0,0,0,470
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
