N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,387,0,83
2,0,334,0,136
3,0,304,0,166
4,0,284,0,186
5,0,261,0,209
6,0,238,0,232
7,0,215,0,255
8,0,196,0,274
9,0,182,0,288
10,0,170,0,300
11,0,164,0,306
12,0,147,0,323
13,0,137,0,333
14,0,132,0,338
15,0,120,0,350
16,0,114,0,356
17,0,107,0,363
18,0,103,0,367
19,0,95,0,375
20,0,89,0,381
21,0,85,0,385
22,0,80,0,390
23,0,74,0,396
24,0,70,0,400
25,0,70,0,400
26,0,67,0,403
27,0,63,0,407
28,0,60,0,410
29,0,57,0,413
30,0,52,0,418
31,0,46,0,424
32,0,41,0,429
33,0,37,0,433
34,0,30,0,440
35,0,21,0,449
36,0,17,0,453
37,0,14,0,456
38,0,10,0,460
39,0,9,0,461
40,0,9,0,461
41,0,8,0,462
42,0,5,0,465
43,0,5,0,465
44,0,5,0,465
45,0,5,0,465
46,0,3,0,467
47,0,3,0,467
48,0,3,0,467
49,0,2,0,468
50,0,0,0,470
51,0,0,0,470
52,0,0,0,470
53,0,0,0,470
54,0,0,0,470
55,0,0,0,470
56,0,0,0,470
57,0,0,0,470
58,0,0,0,470
59,0,0,0,470
60,0,0,0,470
61,0,0,0,470
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
