N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,261,0,209
2,0,142,0,328
3,0,95,0,375
4,0,70,0,400
5,0,55,0,415
6,0,49,0,421
7,0,36,0,434
8,0,32,0,438
9,0,27,0,443
10,0,25,0,445
11,0,22,0,448
12,0,21,0,449
13,0,20,0,450
14,0,18,0,452
15,0,16,0,454
16,0,14,0,456
17,0,11,0,459
18,0,10,0,460
19,0,10,0,460
20,0,9,0,461
21,0,8,0,462
22,0,8,0,462
23,0,8,0,462
24,0,8,0,462
25,0,7,0,463
26,0,6,0,464
27,0,5,0,465
28,0,5,0,465
29,0,3,0,467
30,0,3,0,467
31,0,3,0,467
32,0,3,0,467
33,0,3,0,467
34,0,3,0,467
35,0,3,0,467
36,0,3,0,467
37,0,2,0,468
38,0,2,0,468
39,0,1,0,469
40,0,1,0,469
41,0,1,0,469
42,0,1,0,469
43,0,0,0,470
44,0,0,0,470
45,0,0,0,470
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
