N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,320,0,0
1,1,289,0,31
2,1,284,0,36
3,1,273,0,47
4,1,265,0,55
5,1,253,0,67
6,1,243,0,77
7,1,232,0,88
8,1,224,0,96
9,1,216,0,104
10,1,205,0,115
11,1,200,0,120
12,1,190,0,130
13,1,182,0,138
14,1,172,0,148
15,1,157,0,163
16,1,148,0,172
17,1,133,0,187
18,1,112,0,208
19,1,94,0,226
20,1,75,0,245
21,1,63,0,257
22,1,52,0,268
23,1,46,0,274
24,1,41,0,279
25,1,34,0,286
26,1,30,0,290
27,1,29,0,291
28,1,27,0,293
29,1,24,0,296
30,1,20,0,300
31,1,18,0,302
32,1,17,0,303
33,1,14,0,306
34,1,11,0,309
35,1,10,0,310
36,0,8,1,312
37,0,6,1,314
38,0,3,1,317
39,0,2,1,318
40,0,0,1,320
41,0,0,1,320
42,0,0,1,320
43,0,0,1,320
44,0,0,1,320
45,0,0,1,320
46,0,0,1,320
47,0,0,1,320
48,0,0,1,320
49,0,0,1,320
50,0,0,1,320
51,0,0,1,320
52,0,0,1,320
53,0,0,1,320
54,0,0,1,320
55,0,0,1,320
56,0,0,1,320
57,0,0,1,320
58,0,0,1,320
59,0,0,1,320
60,0,0,1,320
61,0,0,1,320
62,0,0,1,320
63,0,0,1,320
64,0,0,1,320
65,0,0,1,320
66,0,0,1,320
67,0,0,1,320
68,0,0,1,320
69,0,0,1,320
70,0,0,1,320
71,0,0,1,320
72,0,0,1,320
73,0,0,1,320
74,0,0,1,320
75,0,0,1,320
76,0,0,1,320
77,0,0,1,320
78,0,0,1,320
79,0,0,1,320
80,0,0,1,320
81,0,0,1,320
82,0,0,1,320
83,0,0,1,320
84,0,0,1,320
85,0,0,1,320
86,0,0,1,320
87,0,0,1,320
88,0,0,1,320
89,0,0,1,320
90,0,0,1,320
91,0,0,1,320
92,0,0,1,320
93,0,0,1,320
94,0,0,1,320
95,0,0,1,320
96,0,0,1,320
97,0,0,1,320
98,0,0,1,320
99,0,0,1,320
