N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,457,0,13
2,0,402,0,68
3,0,362,0,108
4,0,323,0,147
5,0,285,0,185
6,0,263,0,207
7,0,246,0,224
8,0,226,0,244
9,0,213,0,257
10,0,202,0,268
11,0,189,0,281
12,0,175,0,295
13,0,164,0,306
14,0,154,0,316
15,0,135,0,335
16,0,128,0,342
17,0,124,0,346
18,0,117,0,353
19,0,107,0,363
20,0,99,0,371
21,0,90,0,380
22,0,84,0,386
23,0,79,0,391
24,0,74,0,396
25,0,68,0,402
26,0,62,0,408
27,0,60,0,410
28,0,56,0,414
29,0,51,0,419
30,0,46,0,424
31,0,43,0,427
32,0,37,0,433
33,0,33,0,437
34,0,30,0,440
35,0,28,0,442
36,0,26,0,444
37,0,24,0,446
38,0,23,0,447
39,0,20,0,450
40,0,20,0,450
41,0,18,0,452
42,0,17,0,453
43,0,15,0,455
44,0,13,0,457
45,0,13,0,457
46,0,12,0,458
47,0,11,0,459
48,0,11,0,459
49,0,10,0,460
50,0,10,0,460
51,0,10,0,460
52,0,7,0,463
53,0,6,0,464
54,0,6,0,464
55,0,6,0,464
56,0,6,0,464
57,0,5,0,465
58,0,5,0,465
59,0,5,0,465
60,0,5,0,465
61,0,5,0,465
62,0,5,0,465
63,0,5,0,465
64,0,5,0,465
65,0,5,0,465
66,0,4,0,466
67,0,4,0,466
68,0,4,0,466
69,0,2,0,468
70,0,2,0,468
71,0,2,0,468
72,0,2,0,468
73,0,2,0,468
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
