N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,320,0,0
1,0,287,1,33
2,0,262,1,58
3,0,234,1,86
4,0,213,1,107
5,0,193,1,127
6,0,160,1,160
7,0,132,1,188
8,0,110,1,210
9,0,79,1,241
10,0,64,1,256
11,0,47,1,273
12,0,42,1,278
13,0,30,1,290
14,0,23,1,297
15,0,13,1,307
16,0,11,1,309
17,0,8,1,312
18,0,6,1,314
19,0,5,1,315
20,0,5,1,315
21,0,2,1,318
22,0,2,1,318
23,0,1,1,319
24,0,0,1,320
25,0,0,1,320
26,0,0,1,320
27,0,0,1,320
28,0,0,1,320
29,0,0,1,320
30,0,0,1,320
31,0,0,1,320
32,0,0,1,320
33,0,0,1,320
34,0,0,1,320
35,0,0,1,320
36,0,0,1,320
37,0,0,1,320
38,0,0,1,320
39,0,0,1,320
40,0,0,1,320
41,0,0,1,320
42,0,0,1,320
43,0,0,1,320
44,0,0,1,320
45,0,0,1,320
46,0,0,1,320
47,0,0,1,320
48,0,0,1,320
49,0,0,1,320
50,0,0,1,320
51,0,0,1,320
