N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,320,0,0
1,1,317,0,3
2,1,313,0,7
3,1,305,0,15
4,1,298,0,22
5,1,295,0,25
6,1,289,0,31
7,1,284,0,36
8,1,278,0,42
9,1,273,0,47
10,1,270,0,50
11,1,263,0,57
12,1,259,0,61
13,0,253,1,67
14,0,240,1,80
15,0,229,1,91
16,0,215,1,105
17,0,199,1,121
18,0,189,1,131
19,0,178,1,142
20,0,169,1,151
21,0,158,1,162
22,0,147,1,173
23,0,135,1,185
24,0,117,1,203
25,0,111,1,209
26,0,100,1,220
27,0,93,1,227
28,0,88,1,232
29,0,86,1,234
30,0,74,1,246
31,0,67,1,253
32,0,57,1,263
33,0,48,1,272
34,0,41,1,279
35,0,31,1,289
36,0,27,1,293
37,0,24,1,296
38,0,17,1,303
39,0,14,1,306
40,0,10,1,310
41,0,7,1,313
42,0,4,1,316
43,0,3,1,317
44,0,3,1,317
45,0,0,1,320
46,0,0,1,320
47,0,0,1,320
48,0,0,1,320
49,0,0,1,320
50,0,0,1,320
51,0,0,1,320
52,0,0,1,320
53,0,0,1,320
54,0,0,1,320
55,0,0,1,320
56,0,0,1,320
57,0,0,1,320
58,0,0,1,320
59,0,0,1,320
60,0,0,1,320
61,0,0,1,320
62,0,0,1,320
63,0,0,1,320
64,0,0,1,320
65,0,0,1,320
66,0,0,1,320
67,0,0,1,320
68,0,0,1,320
69,0,0,1,320
70,0,0,1,320
71,0,0,1,320
72,0,0,1,320
73,0,0,1,320
74,0,0,1,320
75,0,0,1,320
76,0,0,1,320
77,0,0,1,320
78,0,0,1,320
79,0,0,1,320
80,0,0,1,320
81,0,0,1,320
82,0,0,1,320
83,0,0,1,320
84,0,0,1,320
85,0,0,1,320
86,0,0,1,320
87,0,0,1,320
88,0,0,1,320
89,0,0,1,320
90,0,0,1,320
91,0,0,1,320
92,0,0,1,320
93,0,0,1,320
94,0,0,1,320
95,0,0,1,320
96,0,0,1,320
97,0,0,1,320
98,0,0,1,320
99,0,0,1,320
