N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,470,0,0
2,0,470,0,0
3,0,470,0,0
4,0,470,0,0
5,0,470,0,0
6,0,465,0,5
7,0,460,0,10
8,0,454,0,16
9,0,447,0,23
10,0,434,0,36
11,0,427,0,43
12,0,416,0,54
13,0,402,0,68
14,0,387,0,83
15,0,373,0,97
16,0,350,0,120
17,0,329,0,141
18,0,316,0,154
19,0,288,0,182
20,0,266,0,204
21,0,240,0,230
22,0,222,0,248
23,0,197,0,273
24,0,173,0,297
25,0,156,0,314
26,0,138,0,332
27,0,128,0,342
28,0,111,0,359
29,0,97,0,373
30,0,90,0,380
31,0,82,0,388
32,0,69,0,401
33,0,61,0,409
34,0,50,0,420
35,0,41,0,429
36,0,34,0,436
37,0,27,0,443
38,0,22,0,448
39,0,17,0,453
40,0,14,0,456
41,0,6,0,464
42,0,5,0,465
43,0,2,0,468
44,0,1,0,469
45,0,1,0,469
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
52,0,0,0,470
53,0,0,0,470
54,0,0,0,470
55,0,0,0,470
56,0,0,0,470
57,0,0,0,470
58,0,0,0,470
59,0,0,0,470
60,0,0,0,470
61,0,0,0,470
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
