N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,317,0,4
2,0,311,0,10
3,0,300,0,21
4,0,291,0,30
5,0,278,0,43
6,0,263,0,58
7,0,251,0,70
8,0,226,0,95
9,0,208,0,113
10,0,199,0,122
11,0,181,0,140
12,0,172,0,149
13,0,164,0,157
14,0,158,0,163
15,0,153,0,168
16,0,146,0,175
17,0,137,0,184
18,0,129,0,192
19,0,126,0,195
20,0,116,0,205
21,0,105,0,216
22,0,99,0,222
23,0,88,0,233
24,0,80,0,241
25,0,72,0,249
26,0,65,0,256
27,0,63,0,258
28,0,56,0,265
29,0,50,0,271
30,0,45,0,276
31,0,38,0,283
32,0,36,0,285
33,0,32,0,289
34,0,30,0,291
35,0,27,0,294
36,0,23,0,298
37,0,17,0,304
38,0,16,0,305
39,0,12,0,309
40,0,10,0,311
41,0,9,0,312
42,0,9,0,312
43,0,9,0,312
44,0,9,0,312
45,0,9,0,312
46,0,9,0,312
47,0,8,0,313
48,0,6,0,315
49,0,6,0,315
50,0,6,0,315
51,0,5,0,316
52,0,3,0,318
53,0,3,0,318
54,0,3,0,318
55,0,3,0,318
56,0,3,0,318
57,0,2,0,319
58,0,2,0,319
59,0,2,0,319
60,0,2,0,319
61,0,2,0,319
62,0,2,0,319
63,0,2,0,319
64,0,1,0,320
65,0,0,0,321
66,0,0,0,321
67,0,0,0,321
68,0,0,0,321
69,0,0,0,321
70,0,0,0,321
71,0,0,0,321
72,0,0,0,321
73,0,0,0,321
74,0,0,0,321
75,0,0,0,321
76,0,0,0,321
77,0,0,0,321
78,0,0,0,321
79,0,0,0,321
80,0,0,0,321
81,0,0,0,321
82,0,0,0,321
83,0,0,0,321
84,0,0,0,321
85,0,0,0,321
86,0,0,0,321
87,0,0,0,321
88,0,0,0,321
89,0,0,0,321
90,0,0,0,321
91,0,0,0,321
92,0,0,0,321
93,0,0,0,321
94,0,0,0,321
95,0,0,0,321
96,0,0,0,321
97,0,0,0,321
98,0,0,0,321
99,0,0,0,321
