N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,203,0,118
2,0,176,0,145
3,0,158,0,163
4,0,139,0,182
5,0,115,0,206
6,0,92,0,229
7,0,75,0,246
8,0,60,0,261
9,0,53,0,268
10,0,46,0,275
11,0,35,0,286
12,0,31,0,290
13,0,28,0,293
14,0,22,0,299
15,0,21,0,300
16,0,15,0,306
17,0,10,0,311
18,0,8,0,313
19,0,5,0,316
20,0,4,0,317
21,0,3,0,318
22,0,1,0,320
23,0,1,0,320
24,0,0,0,321
25,0,0,0,321
26,0,0,0,321
27,0,0,0,321
28,0,0,0,321
29,0,0,0,321
30,0,0,0,321
31,0,0,0,321
32,0,0,0,321
33,0,0,0,321
34,0,0,0,321
35,0,0,0,321
36,0,0,0,321
37,0,0,0,321
38,0,0,0,321
39,0,0,0,321
40,0,0,0,321
41,0,0,0,321
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
